#: table_doi: 10.17182/hepdata.46774.v1/t1
#: name: Table 1
#: description: The electromagnetic structure function, F2(C=EM), in NC DIS scattering at Q**2 from 2.7 to 30000 GeV**2.

#: data_file: Table1.yaml
#: keyword reactions: E+ P --> E+ X
#: keyword observables: F2 | SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Structure Function | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 300.0
#: E(P=1) [GeV],27.6
#: E(P=2) [GeV],820.0
#: RE,E+ P --> E+ P
#: SQRT(S) [GeV],300.0,,,,
Q**2 [GEV**2],X,Y,F2(C=EM),stat +,stat -,sys +,sys -
650.0,0.032,0.225,0.604,0.024,-0.024,0.011,-0.011
650.0,0.05,0.144,0.475,0.02,-0.02,0.01,-0.01
650.0,0.08,0.09,0.455,0.018,-0.018,0.007,-0.007
650.0,0.13,0.055,0.356,0.015,-0.015,0.011,-0.011
650.0,0.25,0.029,0.249,0.012,-0.012,0.008,-0.008
650.0,0.4,0.018,0.151,0.014,-0.014,0.022,-0.022
800.0,0.013,0.682,0.887,0.04,-0.04,0.021,-0.021
800.0,0.021,0.422,0.675,0.051,-0.051,0.011,-0.011
800.0,0.032,0.277,0.65,0.032,-0.032,0.009,-0.009
800.0,0.05,0.177,0.451,0.023,-0.023,0.01,-0.01
800.0,0.08,0.111,0.419,0.024,-0.024,0.011,-0.011
800.0,0.13,0.068,0.369,0.019,-0.019,0.009,-0.009
800.0,0.25,0.035,0.259,0.015,-0.015,0.005,-0.005
800.0,0.4,0.022,0.114,0.013,-0.013,0.015,-0.015
1200.0,0.014,0.95,0.96,0.053,-0.053,0.028,-0.028
1200.0,0.021,0.634,0.707,0.036,-0.036,0.013,-0.013
1200.0,0.032,0.416,0.571,0.029,-0.029,0.011,-0.011
1200.0,0.05,0.266,0.493,0.023,-0.023,0.008,-0.008
1200.0,0.08,0.166,0.434,0.023,-0.023,0.007,-0.007
1200.0,0.13,0.102,0.335,0.019,-0.019,0.01,-0.01
1200.0,0.25,0.053,0.253,0.014,-0.014,0.005,-0.005
1200.0,0.4,0.033,0.148,0.012,-0.012,0.015,-0.015
1200.0,0.65,0.02,0.021,0.007,-0.007,0.005,-0.005
1500.0,0.021,0.792,0.71,0.056,-0.056,0.044,-0.044
1500.0,0.032,0.52,0.554,0.057,-0.057,0.011,-0.011
1500.0,0.05,0.333,0.523,0.03,-0.03,0.009,-0.009
1500.0,0.08,0.208,0.477,0.027,-0.027,0.012,-0.012
1500.0,0.13,0.128,0.3,0.035,-0.035,0.006,-0.006
1500.0,0.18,0.092,0.311,0.023,-0.023,0.018,-0.018
1500.0,0.25,0.067,0.268,0.023,-0.023,0.008,-0.008
1500.0,0.4,0.042,0.145,0.018,-0.018,0.02,-0.02
1500.0,0.65,0.026,0.012,0.004,-0.004,0.002,-0.002
2000.0,0.032,0.693,0.617,0.051,-0.051,0.021,-0.021
2000.0,0.05,0.443,0.487,0.036,-0.036,0.01,-0.01
2000.0,0.08,0.277,0.448,0.032,-0.032,0.009,-0.009
2000.0,0.13,0.171,0.34,0.028,-0.028,0.013,-0.013
2000.0,0.18,0.123,0.28,0.025,-0.025,0.007,-0.007
2000.0,0.25,0.089,0.232,0.024,-0.024,0.012,-0.012
2000.0,0.4,0.055,0.169,0.023,-0.023,0.017,-0.017
3000.0,0.05,0.665,0.578,0.05,-0.05,0.012,-0.012
3000.0,0.08,0.416,0.452,0.038,-0.038,0.01,-0.01
3000.0,0.13,0.256,0.329,0.046,-0.046,0.014,-0.014
3000.0,0.18,0.185,0.243,0.028,-0.028,0.009,-0.009
3000.0,0.25,0.133,0.192,0.034,-0.034,0.008,-0.008
3000.0,0.4,0.083,0.088,0.019,-0.019,0.008,-0.008
3000.0,0.65,0.051,0.016,0.005,-0.005,0.002,-0.002
5000.0,0.08,0.693,0.422,0.038,-0.038,0.011,-0.011
5000.0,0.13,0.426,0.302,0.035,-0.035,0.006,-0.006
5000.0,0.18,0.308,0.288,0.033,-0.033,0.015,-0.015
5000.0,0.25,0.222,0.226,0.03,-0.03,0.008,-0.008
5000.0,0.4,0.139,0.125,0.023,-0.023,0.007,-0.007
8000.0,0.13,0.682,0.293,0.042,-0.042,0.012,-0.012
8000.0,0.18,0.493,0.311,0.048,-0.048,0.017,-0.017
8000.0,0.25,0.355,0.214,0.039,-0.039,0.023,-0.023
8000.0,0.4,0.222,0.121,0.029,-0.029,0.008,-0.008
8000.0,0.65,0.136,0.035,0.011,-0.011,0.005,-0.005
12000.0,0.18,0.739,0.33,0.066,-0.066,0.012,-0.012
12000.0,0.25,0.532,0.214,0.055,-0.055,0.009,-0.009
12000.0,0.4,0.333,0.092,0.035,-0.035,0.003,-0.003
20000.0,0.25,0.887,0.293,0.104,-0.104,0.015,-0.015
20000.0,0.4,0.554,0.112,0.088,-0.088,0.016,-0.016
30000.0,0.4,0.831,0.086,0.198,-0.198,0.006,-0.006
